Id,ModelId,Make
1,7,'chevrolet chevelle malibu'
2,4,'buick skylark 320'
3,24,'plymouth satellite'
4,1,'amc rebel sst'
5,13,'ford torino'
6,13,'ford galaxie 500'
7,7,'chevrolet impala'
8,24,'plymouth fury iii'
9,25,'pontiac catalina'
10,1,'amc ambassador dpl'
11,9,'citroen ds-21 pallas'
12,7,'chevrolet chevelle concours (sw)'
13,13,'ford torino (sw)'
14,24,'plymouth satellite (sw)'
15,1,'amc rebel sst (sw)'
16,11,'dodge challenger se'
17,24,'plymouth cuda 340'
18,13,'ford mustang boss 302'
19,7,'chevrolet monte carlo'
20,4,'buick estate wagon (sw)'
21,29,'toyota corona mark ii'
22,24,'plymouth duster'
23,1,'amc hornet'
24,13,'ford maverick'
25,10,'datsun pl510'
26,31,'volkswagen 1131 deluxe sedan'
27,23,'peugeot 504'
28,2,'audi 100 ls'
29,27,'saab 99e'
30,3,'bmw 2002'
31,1,'amc gremlin'
32,13,'ford f250'
33,7,'chevy c20'
34,11,'dodge d200'
36,10,'datsun pl510'
37,7,'chevrolet vega 2300'
38,29,'toyota corona'
39,13,'ford pinto'
40,31,'volkswagen super beetle 117'
41,1,'amc gremlin'
42,24,'plymouth satellite custom'
43,7,'chevrolet chevelle malibu'
44,13,'ford torino 500'
45,1,'amc matador'
46,7,'chevrolet impala'
47,25,'pontiac catalina brougham'
48,13,'ford galaxie 500'
49,24,'plymouth fury iii'
50,11,'dodge monaco (sw)'
51,13,'ford country squire (sw)'
52,25,'pontiac safari (sw)'
53,1,'amc hornet sportabout (sw)'
54,7,'chevrolet vega (sw)'
55,25,'pontiac firebird'
56,13,'ford mustang'
57,19,'mercury capri 2000'
58,22,'opel 1900'
59,23,'peugeot 304'
60,12,'fiat 124b'
61,29,'toyota corolla 1200'
62,10,'datsun 1200'
63,31,'volkswagen model 111'
64,24,'plymouth cricket'
65,29,'toyota corona hardtop'
66,11,'dodge colt hardtop'
67,31,'volkswagen type 3'
68,7,'chevrolet vega'
69,13,'ford pinto runabout'
70,7,'chevrolet impala'
71,25,'pontiac catalina'
72,24,'plymouth fury iii'
73,13,'ford galaxie 500'
74,1,'amc ambassador sst'
75,19,'mercury marquis'
76,4,'buick lesabre custom'
77,21,'oldsmobile delta 88 royale'
78,8,'chrysler newport royal'
79,16,'mazda rx2 coupe'
80,1,'amc matador (sw)'
81,7,'chevrolet chevelle concours (sw)'
82,13,'ford gran torino (sw)'
83,24,'plymouth satellite custom (sw)'
84,32,'volvo 145e (sw)'
85,31,'volkswagen 411 (sw)'
86,23,'peugeot 504 (sw)'
87,26,'renault 12 (sw)'
88,13,'ford pinto (sw)'
89,10,'datsun 510 (sw)'
90,29,'toyota corona mark ii (sw)'
91,11,'dodge colt (sw)'
92,29,'toyota corolla 1600 (sw)'
93,4,'buick century 350'
94,1,'amc matador'
95,7,'chevrolet malibu'
96,13,'ford gran torino'
97,11,'dodge coronet custom'
98,19,'mercury marquis brougham'
99,7,'chevrolet caprice classic'
100,13,'ford ltd'
101,24,'plymouth fury gran sedan'
102,8,'chrysler new yorker brougham'
103,4,'buick electra 225 custom'
104,1,'amc ambassador brougham'
105,24,'plymouth valiant'
106,7,'chevrolet nova custom'
107,1,'amc hornet'
108,13,'ford maverick'
109,24,'plymouth duster'
110,31,'volkswagen super beetle'
111,7,'chevrolet impala'
112,13,'ford country'
113,24,'plymouth custom suburb'
114,21,'oldsmobile vista cruiser'
115,1,'amc gremlin'
116,29,'toyota carina'
117,7,'chevrolet vega'
118,10,'datsun 610'
119,16,'mazda rx3'
120,13,'ford pinto'
121,19,'mercury capri v6'
122,12,'fiat 124 sport coupe'
123,7,'chevrolet monte carlo s'
124,25,'pontiac grand prix'
125,12,'fiat 128'
126,22,'opel manta'
127,2,'audi 100ls'
128,32,'volvo 144ea'
129,11,'dodge dart custom'
130,27,'saab 99le'
131,29,'toyota mark ii'
132,21,'oldsmobile omega'
133,24,'plymouth duster'
134,13,'ford maverick'
135,1,'amc hornet'
136,7,'chevrolet nova'
137,10,'datsun b210'
138,13,'ford pinto'
139,29,'toyota corolla 1200'
140,7,'chevrolet vega'
141,7,'chevrolet chevelle malibu classic'
142,1,'amc matador'
143,24,'plymouth satellite sebring'
144,13,'ford gran torino'
145,4,'buick century luxus (sw)'
